x,y,z,q0,q1,q2,q3,q4,q5
1.0,5.0,1.0,630.8861293552288,0.0,0.0,0.0,-0.8314298455094793,0.0
1.0,5.0,2.0,0.0,-6.021377459473409,0.0,0.0,0.0,0.0
1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,-4.378075226913924,4.008135328553563,15.79953509214771,0.0
1.0,6.0,1.0,402.74936296906355,0.0,0.0,0.0,-0.7922356415967502,0.0
1.0,6.0,2.0,52.7037539831168,0.0,0.0,0.0,0.0,0.0
1.0,6.0,3.0,6.53026941532394,0.0,0.0,0.0,0.0,0.0
1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0,38.10014263065633,0.0,0.0,0.0,0.0,0.0
1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,5.0,5.056225694163662,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,1.0,0.0,0.0,-3.949650760058421,0.0,0.0,0.0
1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,1.0,5.949650760058422,0.0,0.0,0.0,0.0,0.0
1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
